,input_text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
1110,I am sure Yogi &amp; Modi would have slapped NSA on Bapu &amp; put him in jail if he had protested against them.  Thank God Bapu is dead or he would have been languishing in jail today #FarmersBill2020 #FarmersProtest #KisanAndolan twitter.com/ANINewsUP/stat…,0.16198,4e-05,0.00158,0.00201,0.00601,0.05195,0.0002
1111,"@anilvijminister @anilvijminister Where were you when your SDM Ayush Sinha ordered to crack head of peacefully protesting Farmers? Why no non-violence quote said by you? And even today Farmers were peacefully marching to geherao, it was your police who lathi-charged Farmers.  #FarmersProtest",0.00244,0.0,0.00013,0.00014,0.00055,6e-05,4e-05
1112,@WSJ Whats about to promote in it? Promote about within India #FarmersProtest,0.00054,0.0,3e-05,9e-05,0.00013,2e-05,1e-05
1113,"We, as a unified community, are disheartened to see the farmers of India being silenced. This is a violation of human rights. The 3 laws threaten the livelihood of farmers and should be repealed.  @UN @UNHumanRights   #FarmersProtest #RepealFarmLaws #IndianFarmersHumanRights https://t.co/kcpC55Vt21",0.00107,0.0,3e-05,0.00026,0.0002,3e-05,2e-05
1114,@Kisanektamorcha It will be like a man without back bone #FarmersProtest #MyFarmer_MyPride,0.01187,2e-05,0.00032,0.00157,0.00243,0.00022,0.00139
1115,"Here’s a celebrity with a voice, and a spine. #Respect #FarmersProtest https://t.co/ZEfuHxjcqX",0.00045,0.0,2e-05,7e-05,0.00013,2e-05,1e-05
1116,Report by @AJEnglish about how things r going on in Russia in 2021! Each one of us supporting #FarmersProtest in India need to watch this as a similar pattern is being followed to silence dissent! “AAP CHRONOLOGY SAMAJHIYE”!Indeed an eye opener🤔 #ShivKumar #JusticeForRanjitSingh twitter.com/AJEnglish/stat…,0.01309,2e-05,0.00538,0.00027,0.00141,8e-05,0.00044
1117,United we will . Pls keep noted down the remarks which Aaj tak said till date against Farmer's . They have pay for their every negative word . #ModiHates_Democracy #FarmersProtest twitter.com/Kisanektamorch…,0.00086,0.0,4e-05,0.0001,0.00019,3e-05,2e-05
1118,"Yesterday, @RubikaLiyaquat asked @RakeshTikaitBKU to show where it's written that corporates will take over land. Here it is read the higlighted part. #FarmersProtest twitter.com/fromtrctr2twit…",0.00077,0.0,5e-05,0.0001,0.00018,2e-05,2e-05
1119,"Tomorrow we'll be holding an IG Live Q&amp;A with economist Rafiq Dossani about the #FarmersProtest in India. If you have any questions you'd like answered, let us know here 👇🏿",0.00053,0.0,4e-05,8e-05,0.00012,2e-05,2e-05
1120,Thank you #FarmersProtest #FarmersAreIndia twitter.com/UNHumanRights/…,0.0009,0.0,4e-05,0.00013,0.00019,2e-05,2e-05
1121,"There is hope. Our farmers deserve to be heard. I am positive that all of us as Indians value the role of the farming community, and will continue supporting them in our own way. Humanity first, everything else later. #FarmersProtest https://t.co/r8Jtag68ra",0.0013,0.0,3e-05,0.00079,0.00022,4e-05,2e-05
1122,@vivekagnihotri #FarmersProtest   Khalistani's feeding our Jawaans https://t.co/HiMSI58iiN,0.00193,0.0,0.00013,0.00042,0.00034,4e-05,3e-05
1123,"If I were to remain silent, I'd be guilty of complicity.   I stand with farmers   #FarmersProtest 09:28:12",0.00193,0.0,9e-05,0.00023,0.00021,8e-05,4e-05
1124,@ammankaurdeep Do no sell.. 🤔 He sold everything sister...  Nothing remain...  #FarmersProtest #FindBapuJorawar #मोदी_बिचौलिया_अडानी_का,0.00151,0.0,0.00011,0.00018,0.00028,3e-05,4e-05
1125,right on! #Indianfarmershumanrights #FarmersProtest twitter.com/rohini_sgh/sta…,0.0011,0.0,5e-05,0.00017,0.00025,2e-05,2e-05
1126,@indijaswaloye Today hashtag ___________22/05/2021 ___________ #ModiStopCrying_RepealLaws  #FarmersProtest https://t.co/gkDOABlTlH,0.00054,0.0,5e-05,8e-05,0.00013,2e-05,2e-05
1127,"Underlying teaching of #RSS , if you are incompetent in solving problem, blame the problem.  When there is vaccine shortage, how does waste happen?  Vaccine hai yaa ....gubbara ?  #ModiMadeDisaster #BJPLies #BJPfails  #FarmersProtest   #COVID19India  telegraphindia.com/india/modi-str…",0.18801,1e-05,0.00098,0.00073,0.13595,9e-05,0.00012
1128,#FarmersProtest  Right  maam twitter.com/GurpreetKChadh…,0.00068,0.0,5e-05,8e-05,0.00016,2e-05,1e-05
1129,Thanks Ilhan!  #FarmersProtest  #ModiPlanningFarmerGenocide twitter.com/IlhanMN/status…,0.00112,0.0,7e-05,0.00014,0.0002,3e-05,2e-05
1130,"@Tanveer75506628 @RahulGandhi @GurpreetPunia8 @WasiuddinSiddi1 @DrArchanaINC @GeorgekurianINC @GauravPandhi @SSsandhu1 Thanks , India needs support   #FarmersProtest  #FarmersParliament",0.00071,0.0,7e-05,0.00011,0.00014,2e-05,2e-05
1131,@khushi9595 @MukeshSharmaMLA Murdabad BJP government  #Yogi_Shielding_Terrorists  #FarmersProtest,0.00141,0.0,8e-05,0.00015,0.00025,4e-05,2e-05
1132,"Is it related to #FarmersProtest or recently held, PUNJAB election results .?? SIKH pilgrims were denied visa to visit religious places in Pakistan. Is this the revenge by INDIAN GOVT. to Sikhs or something else .?? #ReleaseDetainedFarmers @92newschannel @AJEnglish @UN @TimesNow twitter.com/abpsanjha/stat…",0.00509,1e-05,0.00022,0.00204,0.00061,5e-05,9e-05
1133,@Tractor2twitr #KisaanVirodhiNarendraModi is a CROOK &amp; LIAR 🤥   #FarmersProtest #NoVoteTo_LiarModi,0.94661,8e-05,0.00736,0.0009,0.9215,0.00018,0.00071
1134,𝐂𝐚𝐬𝐞 𝐍𝐨 :  315  🅢︎Ⓤ︎Ⓢ︎Ⓟ︎Ⓔ︎Ⓝ︎Ⓓ︎Ⓔ︎🅳︎  @rohitch61395302  Thanks  #TeamKisanUnited 🤝   #FarmersProtest https://t.co/GKwvNyFbcR,0.00437,1e-05,0.00101,0.00032,0.00039,8e-05,0.00014
1135,Thnk you For Supporting.🙏❤️ @LicypriyaK #FarmersProtest twitter.com/LicypriyaK/sta…,0.00255,0.0,0.00041,0.00013,0.00031,7e-05,8e-05
1136,Farmer 👨‍🌾 @ModFarm  @FarmersWeekly  #FarmersProtest  #खट्टर_सरकार_किसानों_पर_अत्याचार #करो_आगाज_किसान_राज https://t.co/HNNbMSrfpo,0.00108,0.0,0.00017,0.00013,0.00015,4e-05,4e-05
1137,@mmmmmmmm1111_ Adani and Ambani wants that game must be played between only RSS BJP and Congress so they will have always power in hand because both are theirs servants.  #BoycottAdaniAmbani  #FarmersProtest,0.00089,0.0,4e-05,9e-05,0.00026,2e-05,1e-05
1138,#FarmersProtest veerji ji they are trying to tell the world that they are really for sale not in movies also in personaly to shame on them twitter.com/jazzyb/status/…,0.02007,1e-05,0.00167,0.00045,0.00413,0.00015,0.00031
1139,"And, last night, just like that, #FarmersProtest went global. World is watching you... #share #support #StandWithFarmers #FarmersProtest",0.00058,0.0,4e-05,8e-05,0.00012,2e-05,2e-05
1140,U are agriculture minister  U create these farm laws  U  create problems  Farmers don't want these farm laws  Then why don't u repeal  We are not going anywhere till u repeal  #TomarRepealOnlySolution #FarmersProtest https://t.co/nwihHKpGOA,0.00096,0.0,6e-05,0.0001,0.0002,2e-05,2e-05
1141,Listening to this song in repeat since few days! #Kaka rocks! 😎🔥🚜🌾 #FarmersProtest youtu.be/X3to4M_4Kj0,0.00193,0.0,0.00022,0.00013,0.00022,5e-05,6e-05
1142,@ndtv Yes #kanganaranuat won the freedom by using a stuff horse to fight for it #ModiHaiToMumkinHai #BJP4India #Modi_Burns_India #bjpfails #BJPFailsIndia #FarmersProtest,0.00178,0.0,0.00021,0.00014,0.00028,4e-05,5e-05
1143,Farmer's day special ❤️🌾 #farmersday  #FarmersProtest  #FarmersProtestingOnFarmersDay #Farmers #RealFarmersWithModi  #Farmersday2020  #FarmerLife  #HappyFarmersDay https://t.co/BQB39EYyNU,0.00058,0.0,6e-05,9e-05,0.00013,2e-05,2e-05
1144,"#आज_भारत_बंद_है #FarmersProtest Repeal Farm laws If you support Indian Farmers, Please use daily # given by @Kisanektamorcha with your tweets retweets quote tweets reply to someone everywhere. twitter.com/Kisanektamorch…",0.00047,0.0,3e-05,8e-05,0.00012,2e-05,1e-05
1145,Water Cannons used in #FarmersProtest at Haryana Chief Minister's House.  https://t.co/1mibrLcoLo,0.00054,0.0,4e-05,7e-05,0.00015,2e-05,1e-05
1146,It’s getting bigger !! #FarmersProtest twitter.com/PunYaab/status…,0.00069,0.0,5e-05,8e-05,0.00015,2e-05,2e-05
1147,This quote speaks volumes. The oppressors must be stopped by those oppressed. Enough! #FarmsAreNotStadiums #FarmersProtest twitter.com/nilanjanaroy/s…,0.02351,1e-05,0.00012,0.00509,0.00124,0.00134,7e-05
1148,"A big win for the farmers, their families, and for justice. #FarmersProtest https://t.co/lA1gpbLD0M",0.0005,0.0,3e-05,0.0001,0.00013,2e-05,1e-05
1149,These honest people will not be defeated Modi Govt! Take illegal farm laws back! #ਮੌਤ_ਨਹੀਂ_ਜਿੱਤ_ਚੁਣੋ #FarmersDemandJustice #FarmerSuicideModiQuiet #26JanDelhiTractorParade #ਜਾਂ_ਮਰਾਂਗੇ_ਜਾਂ_ਜਿੱਤਾਂਗੇ #KisanEktaMorcha #shameonbjp #BoycottAmbaniAdani #FarmersProtest #Tractor2Twitter twitter.com/ndtvvideos/sta…,0.00286,0.0,0.00013,0.00027,0.00048,5e-05,4e-05
1150,@Kisanektamorcha #किसानों_की_गद्दार_मोदी_सरकार #FarmersProtest #BoycottBJP4Farmers #GodiMedia #FarmersProtest B.J.P murdawad ✊✊✊ https://t.co/JCpXSBZ9Hq https://t.co/V22IRhrW8x,0.0011,0.0,0.00021,0.00015,0.00018,3e-05,5e-05
1151,Godi media is continuously defaming Farmers but the Farmers are fighting for their rights peacefully..They are real Heroes of India.. Kisan Ekta Zindabaad #GodiMediaEnemyOfFarmers #FarmersProtest https://t.co/tGA2CJzs4j,0.00061,0.0,4e-05,0.00012,0.00015,2e-05,1e-05
1152,#FarmersProtest Plz retweet twitter.com/kavita_krishna…,0.00068,0.0,6e-05,8e-05,0.00015,2e-05,2e-05
1153,186  New Year Delhi in favor of struggle with farmers  #HitlerModiAgainstFarmers #farmersprotest twitter.com/aujla_harpreet…,0.00064,0.0,4e-05,0.00011,0.00016,2e-05,1e-05
1154,"@RakeshTikaitBKU @OfficialBKU @PTI_News @ANI @news24tvchannel @htTweets Agriculture not only gives riches to a nation, but the only riches she can call her own. #FarmersProtest https://t.co/HuLKmLgWpp",0.00095,0.0,7e-05,0.0001,0.00024,2e-05,2e-05
1155,Stand for the people who are responsible for providing food for our families. Let's get together to support them and their families.  #FarmersProtest #WeStandwithFarmers #takebillsback https://t.co/ofxq9amzQk,0.0005,0.0,3e-05,8e-05,0.00012,3e-05,1e-05
1156,Seems #FarmersProtest is working twitter.com/CNBCTV18Live/s…,0.00048,0.0,3e-05,7e-05,0.00012,2e-05,1e-05
1157,Repeal three black laws #ModiGovt_ExploitingFarmers No farmers no food #FarmersProtest twitter.com/VipanjeetSing1…,0.05088,3e-05,0.0004,0.03401,0.00433,0.00021,0.00011
1158,"Today farmers were peacefully protesting, but Talibani khatter police brutality laathicharge on our farmers. Bleeding head's and boiling blood will show Khattar in coming times what's real agitation.  #किसान_विरोधी_खट्टर  #TalibaniKhattarSarkar  #FarmersProtest twitter.com/fromtrctr2twit… https://t.co/4I62uOCXfr",0.00283,0.0,0.00013,0.00027,0.00045,0.00013,4e-05
1159,"@news24tvchannel Honorable PM @narendramodi #PMModi #NarendraModi #FarmersProtest #FarmLaw our India is at height of success. After achieving wordwide success, Three Krishi Laws have created significant alternative Economic Successes. Krishi Laws have served their purpose well! twitter.com/news24tvchanne…",0.00042,0.0,3e-05,7e-05,0.00012,2e-05,1e-05
1160,Keep this rage.  Drag modi in the streets and hang him.  #कृषि_कानून_रद्द_करने_पड़ेंगे #ResignModi #FarmersProtest twitter.com/AmilwithanL/st…,0.63573,0.00044,0.00709,0.00958,0.00889,0.46616,0.00083
1161,Farm bills repealed #farmerWon #FarmersProtest @RakeshTikaitBKU,0.00054,0.0,4e-05,7e-05,0.00014,2e-05,1e-05
1162,@UNHumanRights Thanks for supporting farmers🙏🏻 🔴Police has blocked access to toilets even for women farmers. 🔴 Water and electricity facility stopped at protest sites. #FarmersProtest #HumanRights,0.0021,0.0,6e-05,0.00077,0.0005,5e-05,0.00016
1163,How to go from $0 to $2000 in a Week  #DollyParton #FarmersProtest   Click here to know more&gt;&gt;&gt; cutt.ly/MkdD5KF,0.0005,0.0,5e-05,6e-05,0.00012,2e-05,2e-05
1164,Watching the prevalent situation in india i think we should spread more awareness.This breaks my heart/ gives huge strength at the same time.The past is being written by their persistence #FarmersProtest #ParliamentForFarmers @Milan_reports @ojasjain11 @anjanaonkashyap,0.00071,0.0,4e-05,0.00022,0.00013,3e-05,2e-05
1165,"The farmer is the only man in our economy who buys everything at retail, sells everything at wholesale, and pays the freight both ways.  #MazdoorKisanEktaDiwas #FarmersProtest https://t.co/kykKgonM69",0.00117,1e-05,0.0001,0.00027,0.00036,5e-05,6e-05
1166,Shame Delhi goons. Release the journalist and the farmers 🧑‍🌾👩‍🌾😢🙏 #FarmersProtest #BJPGoonsAttackingFarmers #FreeMandeepPunia twitter.com/parimmalksinha…,0.24566,7e-05,0.03054,0.00353,0.16934,0.00031,0.00072
1167,"The ones who only spread hate and insecurity only to stay in power, vote them out #FarmersBeforeVotes #FarmersProtest",0.00827,0.0,8e-05,0.00071,0.00124,0.00015,4e-05
1168,Farmers supports use these trending hastags together #मोदी_है_तो_बर्बादी_है #FarmersProtest  #मोदी_है_तो_बर्बादी_है https://t.co/QrH4zNPtOo,0.00045,0.0,4e-05,7e-05,0.00011,2e-05,1e-05
1169,Compensate the family member of deceased Sushil  #JusticeForKarnalFarmers #FarmersProtest https://t.co/BhafXMYqhi,0.00219,0.0,0.00016,0.00017,0.00027,0.00014,6e-05
1170,Happening exactly as predicted... Indian public is fool and Congress ecosystem has done PhD on this... BJP is novice  #FarmLaws #FarmersProtest twitter.com/aavran2403/sta…,0.66286,2e-05,0.00088,0.02436,0.59002,0.00012,0.00011
1171,The whole world is watching 🇮🇳 #FarmersProtest,0.00038,0.0,3e-05,8e-05,0.0001,2e-05,1e-05
1172,The only impossible journey is the one you never begin.  #FarmersProtest #ModiEgo_KillingFarmers https://t.co/emb30UNZkf,0.00199,0.0,0.0001,0.00017,0.00024,0.00015,5e-05
1173,#FarmersProtest #500DeathsAtFarmersProtest Retweet.. twitter.com/Drkhinda2/stat…,0.00062,0.0,4e-05,8e-05,0.00013,3e-05,1e-05
1174,"#FarmersProtest | Centre-#Farmers meeting ends, next meet to be held on January 8.   @AlokReporter reports! https://t.co/tcCLTFv77b",0.00047,0.0,3e-05,7e-05,0.00012,2e-05,1e-05
1175,#FarmersProtest   Local celebrities 👎,0.0005,0.0,3e-05,8e-05,0.00013,2e-05,1e-05
1176,"Some scenes shown in farmers prostest remind us how sikh's were treated in 1984, what's changed?😞 #FarmersProtest  #Farmerslivematter  #NoFarmerNoFood  #KisaanEktaJindabaad https://t.co/FYgNG5z05m",0.00122,0.0,0.0001,0.00014,0.00026,3e-05,4e-05
1177,@mandeeppunia1 #FarmersProtest shame on you Bjp government,0.03381,0.0,0.00057,0.00075,0.01177,0.00011,0.0001
1178,@ABPNews Plz support #FarmersProtest 🙏 #TakeBackFarmersLaws  #FarmersAreLifeLine  #8_दिसंबर_भारत_बन्द  #FarmersProtest  #NoFarmersNoFood  #TakeBackFarmLaw #TakeBackFarmersLaws #TakeBackFarmLaws  #8दिसम्बर_भारत_बंद  #8दिसम्बर_भारत_बन्द,0.00082,0.0,8e-05,0.0001,0.00018,3e-05,2e-05
1179,@Tractor2twitr Jind MahaPanchayat resolutions: 1. Govt should repeal back 3 Farm laws 2. Govt should legalize MSP 3. Release all those detained on 26th Jan 4. Govt should take back all cases &amp; charges against farmers  #FarmersProtest https://t.co/NZFWsN0vqk,0.00046,0.0,3e-05,7e-05,0.00013,2e-05,1e-05
1180,"@BJP4India in Bengal say they will particularly work for ""Farmers"" n others if they win.  Think, People of #Bengal before you go to vote, about the #FarmersProtest n the #300DeathsAtProtest. When they care n work for the farmers, this is what happens. twitter.com/rakhitripathi/…",0.00084,0.0,5e-05,0.00012,0.00019,3e-05,2e-05
1181,#SikhPride #FakeFarmers #FarmersProtest   'Bonded labourers' on Punjab farms: MHA prods Punjab govt for action | India News - Times of India timesofindia.indiatimes.com/india/bonded-l…,0.00062,0.0,5e-05,9e-05,0.00016,2e-05,2e-05
1182,This is what the mainstream media need to show and deliberate upon @Devinder_Sharma @diljitdosanjh @SonuSood @mynameswatik @DrRituSingh_ @NavDosanjh4 @amaanbali @Tractor2twitr @Kisanektamorcha @PunYaab #FarmersProtest #FarmersBill2020 outlookindia.com/website/story/…,0.00092,0.0,6e-05,0.0001,0.00022,2e-05,2e-05
1183,@sakshijoshii @ajitanjum Wow...two superstars of SM News are in one frame...thank you both for your efforts towards the people of nation through your journalism and hardwork.Thank you for coverage of #FarmersProtest ..jay Hind🇮🇳🇮🇳..keep shining..keep smiling,0.0008,0.0,4e-05,8e-05,0.00022,2e-05,2e-05
1184,Blankets and heater blowers for the idols of God in Ayodhya. And no sympathy for the suffering and dying farmers in the rain and cold?  60 farmers already died during this protest..#HypocrisyHasNoMedicine  #FarmersProtest  #FarmerBill2020  Good Morning Twitter World https://t.co/u8lMSRFnS9,0.02229,1e-05,0.0007,0.00071,0.01025,8e-05,0.00016
1185,Support farmers #FarmersProtest  #JusticeForNavreet twitter.com/mnprtsandhu34/…,0.00057,0.0,3e-05,9e-05,0.00014,2e-05,1e-05
1186,I want to #askindiawhy these images of peaceful protestors were withheld from the state funded media houses on the 26th. #farmersprotest https://t.co/79qeditQtf,0.00063,0.0,3e-05,0.0001,0.00014,2e-05,1e-05
1187,"@rishibagree @Makhanlal2_ Dumbos dont understand that by their actions they are bringing people closer to Modiji. People in general,dont support #FarmersProtest .They feel disgusted. No sane person would like farmers blocking borders of Delhi and likely to spread #COVID19 elsewhere.",0.00174,0.0,7e-05,0.00015,0.00056,2e-05,3e-05
1188,Around the world. Now more people are speaking about it. #FarmersProtest #ClimateAction #DishaRaviArrested twitter.com/Channel4News/s…,0.00045,0.0,3e-05,8e-05,0.00011,2e-05,1e-05
1189,"Lathicharge, Firing And Tear Gas Shells Ensued. Several Farmers And Police Injured In Hisar Clashes  #Hisar #FarmersProtest https://t.co/gaMwXO4B7r",0.00308,0.0,0.00015,0.00016,0.0004,0.00031,5e-05
1190,So you bhakts are gonna say that an olympic medal winner is a terrorist too now?  #FarmersProtest #FarmBills2020 twitter.com/boxervijender/…,0.04288,1e-05,0.00219,0.00105,0.01633,0.00022,0.00023
1191,"I like the tweets from @bainjal, especially wrt #FarmersProtest",0.00057,0.0,4e-05,7e-05,0.00014,2e-05,2e-05
1192,@Rajnees34468386 @TheLallantop Sir ... we all will work together &amp; fail their IT Cell ... you are the one bringing everyone under ONe Umberalla .... We Will all Save the nation from this “ Chaiwala” ..  #RumiRotiFight #RippedJeansTwitter #FarmersProtest #kisanektazindabaad,0.0029,0.0,0.00019,0.00018,0.00048,6e-05,5e-05
1193,We have to stand united in this fight against the fascists......!!  #ModiChokingFarmersVoice #FarmersProtest https://t.co/PNJ6mB42Kx,0.03781,0.0,0.00015,0.00335,0.00902,0.00028,6e-05
1194,"Such a hypocrite you are @sachin_rt   When the #FarmersProtest was happening for over a period of 6 months, you chose to keep your mouth shut. When the family member turns deaf towards a problem then we do bring the shit out in public. And yes the neighbors will question you. twitter.com/sachin_rt/stat…",0.99302,0.0071,0.77385,0.00297,0.95582,0.00056,0.00407
1195,"To be sure, what has been beautiful about the #FarmersProtest is that the protestors are not just Sikhs/Punjabi. Many in India across states, backgrounds and religions have joined in, braving the cold and attempts by the Indian government to silence their voices.   Respect!",0.00221,0.0,5e-05,0.00115,0.00039,4e-05,2e-05
1196,"@nair_hena08 In due course of time purposes of #FarmersProtest and opposition politicians, parties and Khalistan will get exposed  They must be shattered and under shock by Modi Ji sudden action",0.00104,0.0,4e-05,0.00013,0.0002,7e-05,2e-05
1197,Thankyu for not associating Khalistan with 1984 or Saint Jernail Singh Khalsa Bhindranwala anymore. Thankyu for giving it a historical concept of pre independence.  Hope you will read the promises made by the then congress. #kisanektazindabaad  #FarmersProtest  #Khalistan twitter.com/vivekagnihotri…,0.00056,0.0,4e-05,8e-05,0.00014,2e-05,1e-05
1198,Why take prize of other work. Without say anything for #scavenger.  #hypocrisy person #ORTHODOX always eat other work. #FarmersProtest #StandWithFarmers twitter.com/Navayan/status… https://t.co/8LhRYFQlWP,0.18521,1e-05,0.0008,0.00092,0.15038,7e-05,0.00014
1199,@ProsaicView We have people saying that Congress has been wiped off. And the same people saying Congress is behind the #FarmersProtest.  Too much confusion...,0.00178,0.0,6e-05,0.00015,0.0003,6e-05,2e-05
1200,@IndiaToday Oh no. Now there is going to be more celebrities joining. Overwhelming support is on the horizon. Just one #Bollywood support will start a Tsunami @KanganaDaily @CNN @Hollywood @BBCWorld @AJEnglish @world #FarmersProtest #FarmersBill2020,0.00064,0.0,4e-05,9e-05,0.00015,2e-05,2e-05
1201,"The sanghi attitude that one should only praise and never criticize India on an international platform is basically ""log kya kahenge: global edition""  #kangana #IndiaAgainstPropaganda #Farmers #FarmersProtest #Rihanna",0.00097,0.0,5e-05,0.00021,0.00015,3e-05,2e-05
1202,BELOW IS A FREE GIFT FOR YOU ALL  youtu.be/0MbGpJsRnvE  _________  #COVID19 #DiceNg #FarmersProtest #GIDLE #Goere  #IndiaStandsWithPalestine #IsraeliCrimes #KYUNGSOO #NCTDREAM #Palestine  #Somizi #saveboardstudents #sugardaddyph #shiba #VoterSuppression #winmetawin,0.05903,5e-05,0.01587,0.00083,0.00577,0.00046,0.00074
1203,This how Modi Government in India is  treating labour rights activist Nodeep Kaur for supporting farmers #Rihanna #SusanSarandon #IStandWithFarmers #PMOIndia #FarmersProtest #FarmersArelndia #supportfarmers #shameonbollywood #SachinTendulkar #akhasaykumar #KanganaRanaut https://t.co/XRHoQa89pw,0.00068,0.0,5e-05,0.00012,0.00016,2e-05,2e-05
1204,Coronil for the rescue.  #FarmersProtest  #किसान_बहुजन_एकता_दिवस twitter.com/ndtv/status/13…,0.00051,0.0,4e-05,8e-05,0.00012,2e-05,2e-05
1205,The true measure of the JUSTICE of a system is the amount of protection it guarantees to the weakest.  Our FARMERS are suffering  Speak up for FARMERS!  #FarmersProtest   18:14:15,0.00051,0.0,3e-05,9e-05,0.00012,2e-05,2e-05
1206,@meenaharris @meenaharris thankyou for using your platform to spread awareness on the #FarmersProtest India has failed its people as #theworldslargestdemocracy. Delhi police has mercilessly started to beat the protestors as a ploy to cause a reaction. They have employed RSS BJP GOONS TO HELP https://t.co/xBJlbpsIw9,0.00253,0.0,0.0001,0.00016,0.00073,3e-05,2e-05
1207,They bite the hand that feeds them..   Farmers feed us and you are torturing them PM Modi ji doesn’t seem to understand this 😭   #FarmersAboveReligiousHate #FarmersProtest https://t.co/k9eRE0xxII,0.00363,0.0,0.00014,0.00039,0.00048,0.00011,5e-05
1208,"@rihanna speaks, all Bollywood gets Diarrhea. #shameonbollywood #RihannaSupportsIndianFarmers #RIRI #supportfarmers #FarmersProtest",0.00164,0.0,0.0001,0.00025,0.00032,3e-05,3e-05
1209,@SusanSarandon I used to love your acting now I love u #FarmersProtest #WeStandWithFarmers,0.00161,0.0,0.00015,0.00011,0.00021,5e-05,7e-05
1210,@GretaThunberg 🙏🙏Even you should never change your moral. They r showing their own level😩 by abusing. They can’t solve farmers issue in their nation what else they can do🥴  @GretaThunberg ❤️  #FarmersProtest,0.0711,1e-05,0.00067,0.00138,0.03827,0.0002,0.00016
1211,Repeal or Nothing! #FarmersBill2020 #FarmersProtest  #FarmersCallPMforDebate twitter.com/Tractor2twitr/…,0.00144,0.0,0.00012,9e-05,0.00036,3e-05,3e-05
1212,Support farmers  Farmer's are fighting for upcoming generations. #ModiVsFarmersParliament #FarmersProtest https://t.co/JIYbrl7URE,0.0005,0.0,3e-05,0.0001,0.00013,2e-05,1e-05
1213,#FarmersAreIndia #FarmersProtest thanks @jazzyb veer ji https://t.co/YND2jav7lb,0.00068,0.0,7e-05,0.0001,0.00014,2e-05,2e-05
1214,#FarmersProtest #ChakkaJaam  Thankyou very much 🙏 twitter.com/UNHumanRights/…,0.00078,0.0,4e-05,0.00012,0.00016,3e-05,2e-05
1215,India is of RSS and RSS is the real india. There is no leeway for any other community or guild to share their standpoints. #FarmersProtest,0.00053,0.0,3e-05,0.00011,0.00012,2e-05,1e-05
1216,Would you like to be a NRI like this? Do protesting Indian Farmers and their owners in Canada dare comment on this? moneycontrol.com/news/trends/si…  #FarmersProtest_AtParliament  #FarmersProtest,0.0047,0.0,0.00013,0.00055,0.00104,5e-05,3e-05
1217,Take back three black laws  #मोदी_किसानी_बर्बाद_करेगा #FarmersProtest,0.02904,2e-05,0.00032,0.0223,0.00214,0.00021,9e-05
1218,Raise your voice for the Farmers.   #FarmerLivesMatter  #FarmersProtest,0.00073,0.0,4e-05,9e-05,0.00018,3e-05,1e-05
1219,@RanadebBhattac2 @jdhillonA It's beautiful isn't it? May you always be blessed and in Chardi Kala Sarbaat da Bhalla #JusticeForLakhimpurFarmers #FarmersProtest=#HumanRights,0.00057,0.0,5e-05,9e-05,0.00013,2e-05,2e-05
1220,No farmers No food No future  #SpeakUpForNodeep  #FarmersProtest https://t.co/cw0e7JbIcD,0.00171,0.0,5e-05,0.00021,0.00034,4e-05,2e-05
1221,I haven’t been trolled by anti #FarmersProtest losers in a while.  They seem to be out in full swing tonight.   Block button ready.   #ParliamentForFarmers,0.20445,1e-05,0.00075,0.00114,0.17782,0.0001,0.00016
1222,"@barandbench @IndiaMeToo @mjakbar @rsprasad @DoJ_India @MinistryWCD @smritiirani @sharmarekha @NCWIndia @LiveLawIndia @narendramodi @AmitShah Beware #MeTooINDIA of CCP's #ChineseVIRUS:   As @rajeev_mp points out, the China &amp; Pro-Soros EU will exploit #MeTooVerdict with the Opposition Parties like it is does with #FakeNarratives at the #CAAprotests and #FarmersProtest with #KhalistaniTerrorists.  https://t.co/Y5s8suzF9w",0.00377,0.0,0.00018,0.00046,0.00078,5e-05,4e-05
1223,@narendramodi Stop Killing Farmers   #Stopkillingfarmers #lakhimpurkheri #FarmersProtest,0.29526,7e-05,0.00169,0.00927,0.00699,0.07282,0.00059
1224,"Look how cruel our law inforcer home ministry works... Chandigarh is union territory, so all law implementation by central authorities... Is it crime to stand out with #FarmersProtest .They arrested minor boy. #ACTtoProtect #missuselaw #ModiMadeDisaster https://t.co/hVq3nLtCLM",0.00165,0.0,0.00012,0.00024,0.00037,8e-05,3e-05
1225,#FarmersProtest  #TakeBackFarmBills  Stand with indian farmers  Please post this hashtag let the world know what’s india. Dictator government is doing with them to benefit their corporate friends! @Peglaake @ManjotSekhon12 @asPOORas,0.01479,1e-05,0.00033,0.00476,0.0036,0.00011,0.0001
1226,Absolutely and ticking clock is more dangerous than ticking bomb ticking bomb will kill at once but ticking clock kills slowly but painfully 😁   #FarmLawsAreNotReforms #FarmersProtest twitter.com/iamgagansahota…,0.00175,0.0,6e-05,0.00021,0.00019,0.00023,3e-05
1227,@karanbhasin95 Spelling of Anna Hazare movement is wrong  #किसान_संसद_चलती_रहेगी #FarmersProtest,0.00069,0.0,7e-05,0.00011,0.00011,3e-05,2e-05
1228,@m_e_t_e_o_r0000 Of course our farmers through and through   #Anti_Farmer_RSS #FarmersProtest,0.00156,0.0,0.00013,0.00015,0.0002,4e-05,4e-05
