input_text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
"hello, I'm a Digital Kisan Bot, even I know that food doesn't fall from sky. The Farmers in India need your support.  #FarmersProtest   02:28:13",0.00052,0.0,3e-05,0.0001,0.00011,2e-05,1e-05
#FarmersProtest. #Desh_Ka_Gaddar_RSS #BengalRejectsBJP #BengalElection2021. Respect the Farmers. Shame on Modi government . #Farmers_Are_Our_Proud #StopHateAgainstFarmers,0.00454,0.0,0.0002,0.00024,0.00091,5e-05,4e-05
@bainsprabhneet So proud of those who feed us! Waheguru bless them always! #StopHateAgainstFarmers #FarmersProtest = #HumanRights,0.00231,0.0,8e-05,0.00041,0.00035,5e-05,3e-05
"If we don't get protein, our body will die If the soil is not fertile, there is no crop If the farmer does not get the value of the crop, the farmer does not survive #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/l8KjQ1f3ES",0.00706,1e-05,0.00016,0.00039,0.00039,0.00258,5e-05
Repeal 3 laws Ensure MSP for all farmers  Stop name calling of farmers   #StopHateAgainstFarmers  #FarmersProtest twitter.com/Sachin88617922…,0.00082,0.0,4e-05,0.00013,0.00019,3e-05,2e-05
I really don’t understand what the bjp govt wants Indians to eat if there are no farmers left? Or is the govt getting ready for slave labor for modi’s pals? #StopHateAgainstFarmers #FarmersProtest https://t.co/zapp6z5hlH https://t.co/wI38Og6U3w,0.02445,1e-05,0.00024,0.01523,0.0028,0.00023,0.0001
#FarmersProtest = #HumanRights @Facebook what you're doing is unethical and immoral! #StopHateAgainstFarmers twitter.com/rajasthani03/s…,0.07,1e-05,0.00039,0.00134,0.02219,0.00016,0.00017
"@Kisanektamorcha Gov’t wants to out wait the farmers, but farmers can out wait anyone. 4+ months of morcha. #FarmersProtest #StopHateAgainstFarmers #RepealFarmLaws",0.00241,0.0,0.00012,0.0002,0.00049,6e-05,3e-05
Let’s all unite so the select few ar the top don’t keep playing is and taking advantage.   #StopHateAgainstFarmers #FarmersProtest twitter.com/navneet_tweets…,0.00135,0.0,7e-05,0.00015,0.00025,4e-05,3e-05
Did you know farmers in India continue to live &amp; die in debt while the likes of ambani/adani get richer?! How is that fair?  #StopHateAgainstFarmers #FarmersProtest https://t.co/cnnEqrAtUQ,0.00291,0.0,0.00013,0.00047,0.0005,9e-05,5e-05
"campaign will be conducted by this,you can demand from both the central government and your state government. #सरकार_MSP_केंद्र_खोलो #FarmersProtest",0.00054,0.0,4e-05,9e-05,0.00012,2e-05,1e-05
Did you know farmers in India continue to live &amp; die in debt while the likes of ambani/adani get richer?! How is that fair? #StopHateAgainstFarmers #FarmersProtest https://t.co/voLzTOSJK6 https://t.co/dFUMmesM1S,0.00275,0.0,0.00016,0.00042,0.00049,8e-05,5e-05
#FarmLaws2020  are spider webs through which the big flies pass and the little ones get caught.  #FarmersProtest   #StopHateAgainstFarmers https://t.co/9MG6DFBGM6,0.00051,0.0,3e-05,9e-05,0.00012,3e-05,2e-05
#BJPGoonsAttackingFarmers   #BJPFailsIndia #ਨਿਸਚੈ_ਕਰਿ_ਅਪੁਨੀ_ਜੀਤ_ਕਰੋ #shameonpmmodi  #WorldSupportsIndianFarmers   FARMERS R REAL HEROES  Farmers courage 👉it’s contagious   #FarmersProtest 🌾🚜 #StopHateAgainstFarmers twitter.com/tractor2twitr/… https://t.co/3fLkfcyGUf,0.01062,1e-05,0.00119,0.0011,0.00153,0.00012,0.00022
@0071MANPREET Hanji how lucky we are jo sanu ene mahaan politicians mile a 🙄 #FarmersProtest  #StopHateAgainstFarmers,0.00378,0.0,0.0002,0.00039,0.00071,5e-05,4e-05
"We are afraid of this greed and disgrace in so many governments from the beginning, that is why we have kept an eye on our farmers and our lands, But they do not know  Punjab is not oppressed by the governments. ll  #StopHateAgainstFarmers #FarmersProtest https://t.co/sKHXmh6zWq",0.00607,0.0,0.0001,0.00024,0.002,5e-05,3e-05
Been through so much Makes ur trust over people go Fragile..  #FarmersProtest  #StopHateAgainstFarmers,0.00186,0.0,9e-05,0.00015,0.00031,6e-05,4e-05
"#StopHateAgainstFarmers #FarmersProtest #BurnFarmLawsOnHoli #RakeshTikait #Delhi #Haryana #Feku #GoBackModi #GodiMedia #KisanAndolan #Punjab A book ""Krishi Kanuno Me Kala Kya"" written by the Senior Advocate Joginder Singh Toor, Punjab &amp; Haryana High Court, was released Today https://t.co/LEOORTR4d5",0.00182,0.0,0.00018,0.00018,0.00033,5e-05,4e-05
"@ChannSingh083 @jot_sohal4 @navneetkaursoh3 @monajathoul @Gurpreet_pb02_ @__SaNDhU_saab @John_Wick_pb65 @Harpree18078555 @sohi45554321 @Tractor2twitr @Tractor2twitr_ ""They tried to divide #FarmersProtest on the lines of  ■Religion ■Punjab and Haryana,  ■small and big farmers But farmers would not crumble until farm laws are repealed!!!  #StopHateAgainstFarmers",0.00292,1e-05,0.00013,0.00093,0.00051,5e-05,4e-05
"Interestingly, and perhaps not altogether surprisingly, there are some people who disregard the ones who feed them.   Instead they are busy defending the oppressors—the scammers who are after everyone’s food.  #StopHateAgainstFarmers  #FarmersProtest https://t.co/79hCWceJXy",0.21681,1e-05,0.0008,0.00297,0.18853,0.00015,0.00014
Showing care when u don't mean it doesn't count nor does it make the hurt u put me through go away.. #FarmersProtest  #StopHateAgainstFarmers,0.00435,0.0,0.00014,0.00048,0.00043,0.00013,5e-05
Always give respect  To our Indian farmers  Kisaan majdoor ekta zindabaad  #FarmersProtest  #StopHateAgainstFarmers https://t.co/sbuA5eLTHQ,0.00089,0.0,4e-05,0.00024,0.00017,3e-05,2e-05
Farmers deserve Respect not hate   #StopHateAgainstFarmers             #FarmersProtest https://t.co/hHsENQez8k,0.01843,0.0,0.00018,0.00155,0.00236,0.00034,6e-05
A nation that destroys its soils destroys itself.   Farmers are the lungs of our nation     REMEMBER it.  #FarmersProtest   #StopHateAgainstFarmers #सरकार_MSP_केंद्र_खोलो #Desh_Ka_Gaddar_RSS #GoBackModi https://t.co/3jKyIsc8Kr,0.00066,0.0,4e-05,0.00011,0.00014,2e-05,2e-05
"Someone thinking of his chair, someone around him When will Punjab and the future of Punjab be considered? #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/SFDow9eUhI",0.00064,0.0,5e-05,8e-05,0.00015,2e-05,2e-05
"#StopHateAgainstFarmers #GodiMedia #KisanAndolan #FarmersProtest #FarmLaws_DeathWarrant #FarmersProtest_BharatBandh #GoBackModi #Feku  A book ""Krishi Kanuno Me Kala Kya"" written by the Senior Advocate Joginder Singh Toor, Punjab &amp; Haryana High Court, was released Today https://t.co/5e0m19abDs",0.00161,0.0,0.00017,0.00016,0.00027,4e-05,4e-05
Did you know farmers in India continue to live &amp; die in debt while the likes of ambani/adani get richer?! How is that fair?  #StopHateAgainstFarmers #FarmersProtest https://t.co/ib8KeXAmTT,0.00211,0.0,0.00011,0.00034,0.00038,7e-05,4e-05
Hate can't divide us and break us ...This thing govt. must understand. #FarmersProtest #StopHateAgainstFarmers #सरकार_MSP_केंद्र_खोलो #Desh_Ka_Gaddar_RSS #GoBackModi https://t.co/2AAr3A0Iiq,0.00283,0.0,0.00017,0.0002,0.00035,0.0001,3e-05
"Instead of listening to what the farmers want, Bjp govt is trying everything to suppress the voices of the farmers. Why?   What is the govt trying to hide?!  #StopHateAgainstFarmers #सरकार_MSP_केंद्र_खोलो #Desh_Ka_Gaddar_RSS #GoBackModi  #FarmersProtest https://t.co/XyaTX8fWP1",0.00098,0.0,6e-05,0.00012,0.00022,3e-05,2e-05
@PreetK_Bandesha Great 👌🏼👌🏼 #FarmersProtest #StopHateAgainstFarmers,0.00118,0.0,0.0001,0.00013,0.00021,3e-05,3e-05
We are farmers.. Not a TERRORIST #StopHateAgainstFarmers #FarmersProtest,0.06603,1e-05,0.00049,0.0032,0.01727,0.00028,0.00011
National media played very negative role in #FarmersProtest and was lapdog of the government.  #StopHateAgainstFarmers twitter.com/Tractor2twitr/…,0.19304,1e-05,0.0015,0.00082,0.17595,6e-05,0.00013
"How could you people, HATE such Souls... There Religion is only Hard Work and Feed the Nation... Unbelievable...  STOP HATING FARMERS and SUPPORT their AGITATION. #StopHateAgainstFarmers #FarmersProtest https://t.co/ZLWeJmEtc1",0.18819,4e-05,0.00086,0.11516,0.0185,0.00113,0.0003
"While farmers have planted seeds of love, bjp is busy spreading hate &amp; lies.   #StopHateAgainstFarmers #FarmersProtest https://t.co/tJAfmvbdKu",0.05144,1e-05,0.00062,0.00085,0.025,9e-05,0.00013
Stop Targeting our Farmers again and again ...Nation know real enemy of the nation is Godi media who is a paid puppet of the modi.. #FarmersProtest #StopHateAgainstFarmers https://t.co/X5CodIPVER,0.05543,1e-05,0.00123,0.00179,0.02371,0.00012,0.00021
"Modi is just a sales agent and farmers are standing in his way, that is why so much hate towards farmers  #StopHateAgainstFarmers #FarmersProtest twitter.com/Sachin88617922…",0.00701,0.0,0.00013,0.00069,0.0013,0.00012,5e-05
Farmers are still protesting  Support farmers  #FarmersProtest  #StopHateAgainstFarmers https://t.co/4hsvpGJId1,0.00076,0.0,4e-05,0.00011,0.00018,2e-05,1e-05
With this spirit we will win for sure #StopHateAgainstFarmers #FarmersProtest twitter.com/8T2Vjh0CRuuRIL…,0.00119,0.0,6e-05,0.00013,0.00023,4e-05,2e-05
Good morning everyone Today hastag  #StopHateAgainstFarmers #FarmersProtest,0.00063,0.0,4e-05,0.0001,0.00014,2e-05,1e-05
A patriot must always be ready to defend his country against his government. That's true patriotism  #FarmersProtest   02:14:13,0.0013,0.0,4e-05,0.00021,0.00021,5e-05,2e-05
"@navneetkaursoh3 Farmers have planted seeds of love, whereas bjp continues to spread hate.  #StopHateAgainstFarmers #FarmersProtest",0.00118,0.0,4e-05,0.00017,0.00023,3e-05,2e-05
Farmers are doing everything they can to provide for their families while they grow food for our families. Don’t you think they deserve our respect? Don’t they deserve a decent living? Why can’t they ask for govt to repeal the farm bills!  #StopHateAgainstFarmers #FarmersProtest https://t.co/uKmsqhO0yl,0.00144,0.0,5e-05,0.00018,0.00034,3e-05,2e-05
Sikhs-Hindus-Muslims-Christians  We are one...We are Brothers 🌾❤️  #FarmersProtest https://t.co/uJhr0P1DQE,0.0288,0.00023,0.00073,0.02942,0.0031,0.00059,0.00037
All religion's are together against #FarmLaws   #FarmersProtest  #StopHateAgainstFarmers twitter.com/ikaur_deep/sta…,0.002,0.0,3e-05,0.00081,0.00031,4e-05,1e-05
Love the song #StopHateAgainstFarmers #FarmersProtest twitter.com/VishalLochab6/…,0.00071,0.0,5e-05,0.00011,0.00016,2e-05,2e-05
We want the BJP government to stop spreading hatred against farmers and repeal anti-farmer laws as soon as possible..  Repeal black farm laws @nstomar  #StopHateAgainstFarmers  #FarmersProtest https://t.co/ftrFR9WTF2,0.03845,2e-05,0.00026,0.02115,0.00376,0.00022,0.0001
Please stay peaceful  #StopHateAgainstFarmers #FarmersProtest twitter.com/Sainikhushii/s…,0.00088,0.0,4e-05,0.00013,0.00019,3e-05,1e-05
"#FarmersProtest   #StopHateAgainstFarmers   Well its not horrifying each segment of society wanted that this gov must listen to them, they tried on thr level but all failed ab aayi kissano ko baari and ena di suneni hi peni l twitter.com/iamjazzie96/st…",0.00401,0.0,0.00025,0.00037,0.00092,4e-05,7e-05
Farmers are fighting for their rights they are not asking for anything extra #StopHateAgainstFarmers #FarmersProtest twitter.com/Bikramj6976442…,0.00101,0.0,4e-05,0.00015,0.00022,3e-05,2e-05
Why does the bjp govt have a problem with peacefully protesting farmers? The farmers only want their elected officials to do their job by listening to them &amp; repeal the farm bills.   Instead the govt is spreading hate. Why?!  #StopHateAgainstFarmers #FarmersProtest https://t.co/k1Wpwr1Pxr,0.00298,0.0,7e-05,0.00023,0.00075,4e-05,2e-05
Good morning to everyone  Support farmers Save Farmers Save Nation  Save Future  #StopHateAgainstFarmers  #FarmersProtest,0.0006,0.0,3e-05,9e-05,0.00015,2e-05,1e-05
Take your deadly laws back government #StopHateAgainstFarmers  #FarmersProtest twitter.com/davinder_7/sta…,0.00289,0.0,6e-05,0.00031,0.00047,0.00011,2e-05
"@Kisanektamorcha @jack @Twitter @TwitterIndia Don't you think it's time to roll out an emoji fr #FarmersProtest which has been runnin since last 4 months whr people hav been living on roads &amp; 300+ lives have been lost.Our govt is deaf rn, maybe an emoji will wake them up #StopHateAgainstFarmers",0.02116,1e-05,0.00039,0.0008,0.00911,0.00011,0.0001
"Media &amp; Govt maligned farmers with all sorts of names. When nothing worked, a media black out has been on since at least a month with no reporting/discussion on #FarmersProtest   Its the hate for farmers &amp; their unity that Govt is trying to ignore them.  #StopHateAgainstFarmers",0.01631,1e-05,0.00023,0.00367,0.0029,0.00012,7e-05
#StopHateAgainstFarmers #FarmersProtest No farmers No food https://t.co/aBUqW29V4z,0.00259,0.0,8e-05,0.00032,0.00044,5e-05,2e-05
👉Hate is too great a burden to bear. It injures the hater more than it injures the hated. 👉Coretta Scott King  #FarmersProtest 🌾🚜 #StopHateAgainstFarmers twitter.com/tractor2twitr/… https://t.co/1c4e9Ps7Kv,0.00812,0.0,0.00026,0.00061,0.00135,0.00015,6e-05
Kindness. The only possible method when dealing with a living creature.  #FarmersProtest   #StopHateAgainstFarmers https://t.co/3edPavjVVm,0.00059,0.0,4e-05,9e-05,0.00014,2e-05,2e-05
"Even after Godi Media tried to color #FarmersProtest in religion, but farmers stayed united. #StopHateAgainstFarmers twitter.com/ikaur_deep/sta…",0.00114,0.0,4e-05,0.00022,0.00024,3e-05,2e-05
"Stop Hating Farmers. We are the Nation Builders. Not go back, Just observe the period of CORONA, It is the Agriculture Sector that railed the National Economy on Track. You people Hate them... THINK. United we STAND and WIN.   #StopHateAgainstFarmers #FarmersProtest https://t.co/BL5UfuuS2x",0.01666,0.0,0.00023,0.00156,0.00222,0.00031,6e-05
"The Farmer is the only man in our economy who buys everything at retail, sell everything at wholesale, and pays the freight both ways.  Stop Hate against Farmers  ...  #StopHateAgainstFarmers  #FarmersProtest https://t.co/sO1V75Dqbq",0.00128,1e-05,9e-05,0.00027,0.00035,5e-05,5e-05
Who will voluntarily sit on roads if their lives didn’t depend on it?! Ask yourself.  Would you leave your home &amp; live on roads just bcuz someone told you?  Farmers are smart (in case you didn’t know) &amp; they know BJP govt is selling ‘em.  #StopHateAgainstFarmers #FarmersProtest,0.00124,0.0,5e-05,0.00011,0.00031,3e-05,2e-05
Reality of today India  #StopHateAgainstFarmers #FarmersProtest twitter.com/Parmind7477610…,0.00056,0.0,3e-05,9e-05,0.00013,2e-05,1e-05
Did you know farmers in India continue to live &amp; die in debt while the likes of ambani/adani get richer?! How is that fair?  #StopHateAgainstFarmers #सरकार_MSP_केंद्र_खोलो #FarmersProtest https://t.co/mLLaxgaykC,0.00175,0.0,0.0001,0.00032,0.00032,5e-05,4e-05
Farmers are the backbone of this world #StopHateAgainstFarmers #FarmersProtest twitter.com/Chhotalikharii…,0.0019,0.0,5e-05,0.00022,0.0004,4e-05,2e-05
Good morning everyone #StopHateAgainstFarmers #FarmersProtest,0.00085,0.0,4e-05,0.00012,0.00018,3e-05,2e-05
Farmers have been peacefully protesting for more than 4 months now. Now summer is here.   Please help spread the word &amp; stand with the ones who grow food we need to feed our families.   Today’s hashtag: #StopHateAgainstFarmers  Tweet/RT/QT  #FarmersProtest https://t.co/qREycn4hxu,0.00062,0.0,3e-05,0.0001,0.00015,2e-05,1e-05
"Farmers are committing suicide, Modi why do you hate farmers #StopHateAgainstFarmers #FarmersProtest twitter.com/rajasthani03/s…",0.18021,3e-05,0.00074,0.00536,0.00847,0.03455,0.00028
@Tractor2twitr Did you know farmers in India continue to live &amp; die in debt while the likes of ambani/adani get richer?! How is that fair?  #StopHateAgainstFarmers #FarmersProtest https://t.co/0ZzU0tjJK4,0.00498,0.0,0.00021,0.00046,0.00076,0.00023,6e-05
Some things you must always be unable to bear. Some things you must never stop refusing to bear. Injustice and outrage and dishonor and shame.   #FarmersProtest   #StopHateAgainstFarmers,0.07332,1e-05,0.00098,0.00127,0.02222,0.00016,0.00023
Division politics will not work with farmers  #StopHateAgainstFarmers #FarmersProtest twitter.com/pb07cheema/sta…,0.00099,0.0,4e-05,0.00014,0.00023,3e-05,2e-05
The true defination of our hardworking farmers :  F – Fearlessness A – Assertion R – Resolve M – Morality E – Empathy R – Righteousness  #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/o1njBN09xy,0.00391,1e-05,0.00051,0.00024,0.00074,6e-05,9e-05
"#StopHateAgainstFarmers world nor India can do without farmers, then why hate farmer support #Farmersprotest",0.00521,0.0,8e-05,0.00096,0.00069,9e-05,3e-05
"Petrol diesel dergated see the price , bow if agriculture sector got deregulated assume price of wht u eat 🙄, gadho kissan tumhare liye sadak p h modi m muh m roti ni thoos deni tumhare,socho kya deraha h modi #StopHateAgainstFarmers #FarmersProtest twitter.com/tadipaar_hun/s…",0.00477,1e-05,0.00054,0.00043,0.0006,7e-05,0.00012
"I think we will become ""shayar"" in this #FarmersProtest 😂  #StopHateAgainstFarmers twitter.com/amarsran/statu…",0.00169,0.0,0.0001,0.00014,0.00031,4e-05,3e-05
"It is time Modi listen to the farmers, stop the hate they are citizens of your country  #StopHateAgainstFarmers #FarmersProtest twitter.com/HarbirVirk2/st…",0.00984,0.0,8e-05,0.00125,0.00151,0.00018,4e-05
Dear bhakts we have so much for you guys to be mad about.. just be patient... #FarmersProtest #StopHateAgainstFarmers https://t.co/NbSraGnz5K,0.00722,0.0,0.00053,0.00029,0.00161,0.00014,8e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/Parwind4428972…,0.00648,0.0,0.00015,0.00029,0.00186,7e-05,5e-05
"Earth provides enough to satisfy every man's needs, but not every man's greed @narendramodi   #FarmersProtest   #StopHateAgainstFarmers",0.00169,1e-05,0.00014,0.00034,0.00049,6e-05,0.0001
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/pb07cheema/sta…,0.00901,0.0,0.00021,0.00037,0.00269,8e-05,6e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/iamnavroop/sta…,0.00801,0.0,0.00019,0.00034,0.00236,7e-05,6e-05
"When dictatorship grows, the people have to bring about a Revolution #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/qo1ycxYeuT",0.00069,0.0,3e-05,0.00011,0.00016,2e-05,2e-05
Modi does not understand economics he only knows the language of division #StopHateAgainstFarmers #FarmersProtest twitter.com/ammankaurdeep/…,0.00214,0.0,6e-05,0.00016,0.0006,2e-05,2e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/jdhillonA/stat…,0.00488,0.0,0.00013,0.00024,0.00135,6e-05,4e-05
"When stone pelters were throwing stones at farmers on #FarmersProtest, no one asked for president rule in India  But when farmers showed their anger, bhakts are loosing their @$$€$  #StopHateAgainstFarmers https://t.co/LumsFgcX3K",0.01243,1e-05,0.00279,0.00051,0.00228,0.0001,0.00034
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/Prabhjo4586612…,0.00555,0.0,0.00014,0.00027,0.00152,6e-05,4e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/Gursewak1991/s…,0.0076,0.0,0.00018,0.00032,0.00221,7e-05,5e-05
"Trending on No :- 4 with 4,712 tweets...please keep posting in the support of the Farmers.... Let's make it No:-1 #FarmersProtest #StopHateAgainstFarmers https://t.co/I72tgcOn7T",0.0006,0.0,4e-05,8e-05,0.00013,2e-05,2e-05
Farmers are asking for what’s rightfully theirs—repeal of farm bills. These bills were passed without a debate or any discussion with those who are impacted the most.   So why can’t they ask to repeal what they didn’t want to begin with?   #StopHateAgainstFarmers #FarmersProtest https://t.co/R67GU9uu1Q,0.00051,0.0,3e-05,7e-05,0.00014,2e-05,1e-05
These farm laws will further increase the difficulties of farmers. Modi why do you hate farmers  #StopHateAgainstFarmers #FarmersProtest twitter.com/NavJammu/statu…,0.00557,0.0,8e-05,0.00093,0.00068,0.00014,3e-05
Let’s stand with our elders &amp; show the world what we can accomplish when different generations work together.   #StopHateAgainstFarmers #FarmersProtest https://t.co/3A124nPEbZ,0.00058,0.0,3e-05,0.0001,0.00014,2e-05,1e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/ManojKKarwasra…,0.0101,0.0,0.00027,0.00044,0.00294,8e-05,7e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/davinder_7/sta…,0.00733,0.0,0.00017,0.0003,0.00216,7e-05,5e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/NavJammu/statu…,0.00653,0.0,0.00016,0.00029,0.00184,7e-05,5e-05
Word on the street: We support farmers all over the world.  #FarmersProtest https://t.co/FOzCHuljvd,0.00063,0.0,3e-05,0.00011,0.00015,2e-05,1e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/NavJammu/statu…,0.00653,0.0,0.00016,0.00029,0.00184,7e-05,5e-05
We rather die on our feet than live on our knees..   #FarmersProtest #StopHateAgainstFarmers https://t.co/V1mmCsw0kl,0.06032,2e-05,0.00067,0.00126,0.00238,0.01752,0.00017
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/NavJammu/statu…,0.00653,0.0,0.00016,0.00029,0.00184,7e-05,5e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/Parmind7477610…,0.00467,0.0,0.00013,0.00024,0.00126,6e-05,4e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/BajwaMandy/sta…,0.0086,0.0,0.0002,0.00035,0.00265,8e-05,6e-05
Farmers are doing everything they can to provide for their families while they grow food for our families. Don’t you think they deserve our respect? Don’t they deserve a decent living? Why can’t they ask for govt to repeal the farm bills?  #StopHateAgainstFarmers #FarmersProtest https://t.co/G4jL4xxGU3,0.00093,0.0,4e-05,0.00012,0.00023,2e-05,2e-05
Greetings everyone! 🙏🏼  Farmers have been peacefully protesting for more than 4 months now. Now summer is here.   Please help spread the word &amp; stand with the ones who grow food we need to feed our families.   Today’s hashtag: #StopHateAgainstFarmers  Tweet/RT/QT  #FarmersProtest https://t.co/m986lFYgxc,0.00065,0.0,3e-05,0.00012,0.00016,2e-05,1e-05
No caption needed for this pic! #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/2vji0K584z,0.00054,0.0,5e-05,9e-05,0.00011,2e-05,2e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/Sachin88617922…,0.00494,0.0,0.00013,0.00025,0.00135,6e-05,4e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/its_preetkaur/…,0.00667,0.0,0.00016,0.00028,0.00193,7e-05,5e-05
Modi works for only his two friends #StopHateAgainstFarmers #FarmersProtest twitter.com/HitpalBatth8/s…,0.00148,0.0,9e-05,0.00014,0.00028,3e-05,3e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/admiral_Genrel…,0.00736,0.0,0.00018,0.00032,0.00216,7e-05,5e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/dil_di_awaz/st…,0.00888,0.0,0.0002,0.00035,0.0027,8e-05,5e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/iofficialraj/s…,0.00797,0.0,0.00018,0.00034,0.00233,7e-05,5e-05
"""If it is important to you, you will find a way.  If it is not, you will find an excuse.""  #FarmersProtest  #StopHateAgainstFarmers",0.00091,0.0,5e-05,0.00012,0.00016,3e-05,2e-05
Farm laws are death warrant to farmers. Stop hating farmers so much #StopHateAgainstFarmers #FarmersProtest twitter.com/RashpalBatth1/…,0.03471,1e-05,0.00033,0.00289,0.00301,0.00172,9e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/DHALIWALBIKSY/…,0.01274,0.0,0.00034,0.00058,0.00361,0.0001,9e-05
"Instead of listening to what the farmers want, Bjp govt is trying everything to suppress the voices of the farmers. Why?   What is the govt trying to hide?!  #StopHateAgainstFarmers #FarmersProtest https://t.co/czO5ifixD0",0.00099,0.0,5e-05,0.00012,0.00024,3e-05,1e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/Stubborn__Jatt…,0.00676,0.0,0.00016,0.0003,0.00194,7e-05,5e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/simsationxo/st…,0.00789,0.0,0.00018,0.00033,0.00233,7e-05,5e-05
"Than they say beating of BJP MLA was inhuman , but what they did with farmers was human.? #StopHateAgainstFarmers #FarmersProtest twitter.com/jdhillona/stat…",0.00443,0.0,8e-05,0.00034,0.00092,8e-05,4e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/dil_di_awaz/st…,0.00888,0.0,0.0002,0.00035,0.0027,8e-05,5e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/jot__b/status/…,0.0057,0.0,0.00014,0.00025,0.00165,6e-05,4e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/sunnySdhami/st…,0.00664,0.0,0.00017,0.0003,0.00194,7e-05,5e-05
The looters of India #StopHateAgainstFarmers #FarmersProtest twitter.com/Chhotalikharii…,0.00107,0.0,5e-05,0.00016,0.00022,3e-05,2e-05
Divided by religion united by farming!  Respect for all!   #StopHateAgainstFarmers #FarmersProtest,0.00066,0.0,3e-05,0.00014,0.00015,2e-05,1e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/updeshkb_12/st…,0.00579,0.0,0.00016,0.00026,0.00164,6e-05,4e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/karajlahoria97…,0.0063,0.0,0.00015,0.0003,0.00176,7e-05,5e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/IamSanjeevThin…,0.00685,0.0,0.00016,0.00031,0.00196,7e-05,5e-05
The true defination of our hardworking farmers;  F – Fearlessness A – Assertion R – Resolve M – Morality E – Empathy R – Righteousness  #सरकार_MSP_केंद्र_खोलो #StopHateAgainstFarmers #FarmersProtest https://t.co/DeFgyUCbpF,0.00307,0.0,0.00032,0.00021,0.00062,5e-05,7e-05
"#StopHateAgainstFarmers #FarmersProtest  this portest gave you haryana punjab west up and rajasthan brotherhood. People rose above community and its threat for all political parties , religion caste card wont work now twitter.com/navneetkaursoh…",0.00157,0.0,5e-05,0.00034,0.00028,3e-05,2e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/mnprtsandhu34/…,0.0071,0.0,0.00017,0.0003,0.00206,7e-05,5e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/pk13491349/sta…,0.00699,0.0,0.00018,0.00031,0.002,7e-05,5e-05
Hate can't divide us and break us ...This thing govt. must understand. #FarmersProtest #StopHateAgainstFarmers https://t.co/8PU9eHYOXv,0.00292,0.0,9e-05,0.00022,0.00042,0.00011,2e-05
BJP is the political arm of the corporate mafia #StopHateAgainstFarmers #FarmersProtest twitter.com/ikaur_deep/sta…,0.00728,0.0,0.00018,0.00031,0.00213,7e-05,5e-05
